中尾 /ns 378	 , [“/w, 中尾/ns, 那/rzv,
广川 /ns 37	 r, 姓/v, 广川/ns, 。/w], 
东京 /ns 30	 的/ude1, 东京/nsf, 人/n, 
日本 /ns 30	 , 颇具/v, 日本/ns, 特色/n, 
不晓得 /ns 28	 , [“/w, 不晓得/ns, ，/w], 
高城 /ns 24	 , 改性/n, 高城/ns, ，/w], 
银座 /ns 24	 , 去/vf, 银座/ns, 。/w], 
乌斯 /ns 14	  梅比/nr, 乌斯/ns, 环/n, 吗
东京都 /ns 7	 , 住在/v, 东京都/nsf, 内/f, 
北极 /ns 6	 , 和/cc, 北极/ns, 。/w], 
神奈川县 /ns 6	 s, 、/w, 神奈川县/ns, 与/cc, 
南极 /ns 6	 d, 像/v, 南极/ns, 和/cc, 
夏天 /ns 5	 z, 到/v, 夏天/ns, ，/w], 
哥本哈根 /ns 4	 , 皇家/n, 哥本哈根/nsf, 的/ude
美国 /ns 4	 是/vshi, 美国/nsf, 国家/n,
大阪 /ns 4	 , 新春/t, 大阪/nsf, 的/ude
上站 /ns 3	 , 位子/n, 上站/ns, 起来/vf,
欧洲 /ns 3	 是/vshi, 欧洲/ns, 情势/n, 
上中 /ns 3	 n, 不/d, 上中/ns, 尾/ng, 
江东 /ns 3	  去一趟/v, 江东/ns, 区/n, 的
中国 /ns 2	 , 挂着/v, 中国/ns, 餐厅/nis
不存在 /ns 2	  他们/rr, 不存在/ns, ，/w], 
新桥 /ns 2	 n, 往/p, 新桥/ns, 的/ude1
大道 /ns 2	 g, 白/a, 大道/ns, 走/v, ，
意大利 /ns 2	 /ulian, 意大利/nsf, 面/nf,
江户 /ns 2	 r, 说/v, 江户/ns, 川/b, 区
成城 /ns 2	 , 住在/v, 成城/ns, 的/ude1
小马路 /ns 2	 m, 条/q, 小马路/ns, ，/w], 
蒙上 /ns 2	 , 顿时/d, 蒙上/ns, 一/m, 片
京都 /ns 2	  住在/v, 东京都/nsf, 内/f, 
北海道 /ns 2	 , [“/w, 北海道/nsf, 犬/ng,
关中 /ns 2	 有/vyou, 关中/ns, 尾/ng, 
东高 /ns 2	 n, 在/p, 东高/ns, 圆/v, 寺
亚特兰大 /ns 2	 f, 或/c, 亚特兰大/nsf, （/w, 
米店 /ns 2	 的/ude1, 米店/ns, ，/w], 
非洲 /ns 2	 , 产于/v, 非洲/nsf, 和/cc,
和卓 /ns 2	 , 你/rr, 和卓/ns, 是/vshi
西山 /ns 1	 b, 入/v, 西山/ns, ，/w], 
爱尔兰 /ns 1	  */w], [爱尔兰/nsf, 的/ude
江东区 /ns 1	  [位于/v, 江东区/ns, 猿/ng, 
太原 /ns 1	 n, 将/d, 太原/ns, 本/rz, 
涩谷 /ns 1	  搭车到/l, 涩谷/ns, ，/w], 
三公里 /ns 1	 f, 约/d, 三公里/ns, ，/w], 
惹毛 /ns 1	 , 我/rr, 惹毛/ns, 了/ule,
中野 /ns 1	 , 位于/v, 中野/ns, 区/n, 野
石川县 /ns 1	 ……/w], [石川县/ns, 。/w], 
酒都 /ns 1	 的/ude1, 酒都/ns, 喝光/nz,
兵库县 /ns 1	 n, 在/p, 兵库县/ns, 宝/n, 塚
上流社会 /ns 1	 , 进入/v, 上流社会/ns, 锻炼/vn,
西班牙 /ns 1	 g, 将/d, 西班牙/nsf, 综合/vn
金鸡 /ns 1	 , [以/p, 金鸡/ns, 独立/a, 
将门 /ns 1	 , 他/rr, 将门/ns, 票/n, 递
下冷 /ns 1	 , 喝/vg, 下冷/ns, 掉/v, 的
上场比赛 /ns 1	 , 目标/n, 上场比赛/ns, 。/w], 
罗马 /ns 1	  日文/nz, 罗马/nsf, 拼音/n,
苏联 /ns 1	 , 潜入/v, 苏联/ns, 核子/n, 
向东 /ns 1	  ，/w], [向东/ns, 走/v, 了
武东 /ns 1	 v, 东/f, 武东/ns, 上线/n, 
纽西兰 /ns 1	 , [在/p, 纽西兰/ns, 出生/vi,
安哥拉 /ns 1	  [身穿/v, 安哥拉/nsf, 羊毛衣/n
后见 /ns 1	 d, 钟/n, 后见/ns, 。/w], 
定远 /ns 1	 v, 不/d, 定远/ns, 比/p, 所
之岛 /ns 1	 , 从中/d, 之岛/ns, 公园/n, 
山梨县 /ns 1	 , 与/cc, 山梨县/ns, 。/w], 
双峰 /ns 1	 的/ude1, 双峰/ns, 看起来/v,
英国 /ns 1	  */w], [英国/ns, 高级/a, 
害怕会 /ns 1	 , 只是/d, 害怕会/ns, 牵连到/l,
上香 /ns 1	 , 他/rr, 上香/ns, ，/w], 
