现在 /t 85	 , 继续/v, 现在/t, 这份/r, 
今天 /t 54	 , 谢绝/v, 今天/t, 的/ude1
当时 /t 54	 也/nrjb, 当时/t, 心想/v, 
早上 /t 30	 , 当天/t, 早上/t, ，/w], 
刚才 /t 28	 g, 二/m, 刚才/t, 走来/v, 
晚上 /t 28	 , 天/qt, 晚上/t, ，/w], 
最近 /t 27	  ，/w], [最近/t, 上司/n, 
当天 /t 23	 [离家/vi, 当天/t, 早上/t, 
目前 /t 21	  ，/w], [目前/t, 主要/b, 
昨天 /t 17	 , 你/rr, 昨天/t, 有没有/nz
下午 /t 14	  。/w], [下午/t, 的/ude1
后来 /t 14	 , 特点/n, 后来/t, 成为/v, 
星期六 /t 14	 i, 在/p, 星期六/t, 的/ude1
晚 /t 14	 。/w], [今晚/t, 就是/v, 
先前 /t 13	 q, 为/p, 先前/t, 一/m, 名
今晚 /t 12	  。/w], [今晚/t, 就是/v, 
昨晚 /t 11	 , 与/cc, 昨晚/t, 完全相同/n
今后 /t 11	 , 像是/v, 今后/t, 的/ude1
明天 /t 10	  [明/ag, 明天/t, 气/n, 不
朝 /t 8	  举步/nz, 朝/tg, 公寓/n,
去年 /t 7	  。/w], [去年/t, 春天/t, 
今年 /t 7	  ，/w], [今年/t, 迈入/v, 
未来 /t 6	 的/ude1, 未来/t, 毫无瓜葛/n
秋 /t 6	  中野/ns, 秋/tg, 代/q, 
每天 /t 6	 , 人员/n, 每天/t, 要/v, 面
夜 /t 6	 是/vshi, 夜/tg, ，/w],
傍晚 /t 5	  [睡到/v, 傍晚/t, ，/w], 
年前 /t 5	 , [三/m, 年前/t, ，/w], 
十一月 /t 5	  。/w], [十一月/t, 十/m, 日
星期五 /t 5	 是/vshi, 星期五/t, ，/w], 
半夜 /t 5	  。/w], [半夜/t, 光线/n, 
从前 /t 5	 , [“/w, 从前/t, 好像/v, 
深夜 /t 5	 n, 看/v, 深夜/t, 节目/n, 
星期三 /t 4	  这/rzv, 星期三/t, 应该/v, 
中午 /t 4	 , 睡到/v, 中午/t, 过后/v, 
星期一 /t 4	 是/vshi, 星期一/t, 吗/y, ？
凌晨 /t 4	 是/vshi, 凌晨/t, 三/m, 点
一大早 /t 4	 , [“/w, 一大早/t, 吗/y, ？
星期四 /t 4	  。/w], [星期四/t, 的/ude1
上星期 /t 4	 本/nrjb, 上星期/t, 四/m, ，
星期二 /t 4	 b, 上/f, 星期二/t, 和/cc, 
星期日 /t 3	  每个/mq, 星期日/t, 一定会/nz
往常 /t 3	 m, 如/v, 往常/t, ，/w], 
时下 /t 3	  [与/cc, 时下/t, 讲究/v, 
上午 /t 3	  。/w], [上午/t, 的/ude1
清 /t 3	 地/ude2, 清/tg, 清嗓子/n
白天 /t 3	 , 看着/v, 白天/t, 从中/d, 
往后 /t 3	  ，/w], [往后/t, 又/d, 翻
十月 /t 3	 是/vshi, 十月/t, 十三/m, 
十二月 /t 3	 [1/m], [十二月/t, 初/f, ，
夜里 /t 2	  ，/w], [夜里/t, 前来/vi,
清晨 /t 2	 [刚过/nr, 清晨/t, 五/m, 点
平日 /t 2	  ，/w], [平日/t, 犀利/a, 
春天 /t 2	 , 那年/r, 春天/t, ，/w], 
近期 /t 2	 f, 到/v, 近期/t, 的/ude1
年内 /t 2	 p, 两/m, 年内/t, 似乎/d, 
秋天 /t 2	 , 去年/t, 秋天/t, 从/p, 其
前年 /t 2	 [清美/ns, 前年/t, 因病/d, 
一早 /t 2	  [明天/t, 一早/t, 应该/v, 
将来 /t 2	 的/ude1, 将来/t, ，/w], 
现 /t 1	 s, 岀/w, 现/tg, 些许/mq
次年 /t 1	  [得奖/v, 次年/t, 随即/d, 
新春 /t 1	 , 天/qt, 新春/t, 派对/n, 
事前 /t 1	  [他/rr, 事前/t, 和/cc, 
一月 /t 1	 是/vshi, 一月/t, ，/w], 
往年 /t 1	 w, “/w, 往年/t, 都/d, 只
二月 /t 1	 , 年/qt, 二月/t, 四/m, 日
生前 /t 1	 康子/nrj, 生前/t, 最后/f, 
瞬时 /t 1	 g, 、/w, 瞬时/t, 记录器/n,
早晨 /t 1	 , 今天/t, 早晨/t, 一样/uyy
当初 /t 1	 w, “/w, 当初/t, 要是/c, 
四时 /t 1	 , [大/a, 四时/t, 是/vshi
现阶段 /t 1	 , 按照/p, 现阶段/t, 的/ude1
下星期 /t 1	 , [就/d, 下星期/t, 二/m, 吧
上个月 /t 1	 是/vshi, 上个月/t, 十二/m, 
如今 /t 1	 绘/nrjb, 如今/t, 也/d, 清
此后 /t 1	  [然而/c, 此后/t, 奋战/vi,
童年 /t 1	 的/ude1, 童年/t, ：/w, 老
下次 /t 1	 , [“/w, 下次/t, 接吻/vi,
周末 /t 1	 [5/m], [周末/t, 过后/v, 
清早 /t 1	 , 一大/n, 清早/t, 直接/ad,
年关 /t 1	 那一年/nr, 年关/t, 逼近/v, 
明年 /t 1	 , 我/rr, 明年/t, 要/v, 结
当前 /t 1	  。/w], [当前/t, 方/q, 完
星期天 /t 1	  。/w], [星期天/t, 邀/v, 她
上周 /t 1	 , 儿子/n, 上周/t, 刚/d, 遇
