当时 /t 173	  。/w], [当时/t, 我/rr, 
今天 /t 63	 , [“/w, 今天/t, 阿良/nrf
现在 /t 53	  ，/w], [现在/t, 也/d, 在
刚才 /t 32	  [你/rr, 刚才/t, 是/vshi
昨天 /t 30	  了/ule, 昨天/t, 的/ude1
夜里 /t 28	 这天/rzt, 夜里/t, ，/w], 
周三 /t 20	  孝志/nr, 周三/t, 的/ude1
后来 /t 20	  。/w], [后来/t, 听/v, 传
目前 /t 20	  ，/w], [目前/t, 尚/d, 不
去年 /t 18	 也/nrjb, 去年/t, 用/p, 过
最近 /t 16	  ，/w], [最近/t, 的/ude1
每天 /t 13	  。/w], [每天/t, 我们/rr,
往常 /t 12	 , [跟/p, 往常/t, 一个样/n,
今晚 /t 11	  。/w], [今晚/t, 那男/nr,
眼下 /t 11	 , 不过/c, 眼下/t, 还/d, 说
昨晚 /t 10	  [据说/v, 昨晚/t, 只是/d, 
如今 /t 10	 , [但/c, 如今/t, 他/rr, 
明天 /t 9	 d, 在/p, 明天/t, 举行/v, 
上次 /t 9	  ，/w], [上次/t, 期中考试/n
今后 /t 9	 着/uzhe, 今后/t, 该/rz, 
晚上 /t 9	  [而/cc, 晚上/t, 又/d, 碰
年前 /t 8	 , [两/m, 年前/t, 父亲/nrj
生前 /t 8	 , 丈夫/n, 生前/t, 常去/nr,
朝 /t 8	  [我/rr, 朝/tg, 他/rr,
傍晚 /t 6	 z, 很/d, 傍晚/t, ，/w], 
下午 /t 6	  [周六/t, 下午/t, 或/c, 周
半夜 /t 6	  。/w], [半夜/t, 里/f, ，
周六 /t 6	  。/w], [周六/t, 下午/t, 
翌日 /t 6	 [3/m], [翌日/t, 清晨/t, 
清 /t 6	 d, 太/d, 清/tg, 了/ule
夜 /t 6	  杀人/vi, 夜/tg], [[/w
上周 /t 5	 v, 像/v, 上周/t, 一样/uyy
下次 /t 5	 v, 在/p, 下次/t, 休假/vi,
当年 /t 5	  [回到/v, 当年/t, 达也/nrj
早上 /t 4	  。/w], [早上/t, 起来/vf,
以往 /t 4	 是/vshi, 以往/t, 的/ude1
晚 /t 4	 , 很/d, 傍晚/t, ，/w], 
周日 /t 4	 t, 或/c, 周日/t, 我/rr, 
清晨 /t 4	  [翌日/t, 清晨/t, ，/w], 
今年 /t 4	 , 与/cc, 今年/t, 不同/a, 
每周 /t 3	  ，/w], [每周/t, 的/ude1
周五 /t 3	  。/w], [周五/t, 是/vshi
往日 /t 3	 , 还是/c, 往日/t, 那/rzv,
上个月 /t 3	 , [“/w, 上个月/t, ，/w], 
每年 /t 3	  ，/w], [每年/t, 也/d, 就
平日 /t 3	 , 她/rr, 平日/t, 说话/vi,
白天 /t 3	 , 摊/ng, 白天/t, 醉酒/nz,
夜半 /t 3	 v, ‘/w, 夜半/t, 跑步/vi,
深夜 /t 3	 , 已是/d, 深夜/t, ，/w], 
周二 /t 3	  ，/w], [周二/t, 的/ude1
事前 /t 2	  [这种/r, 事前/t, 后/f, 发
周一 /t 2	  [上周/t, 周一/t, 的/ude1
幼年 /t 2	 被/pbei, 幼年/t, 时/qt, 
五月 /t 2	  。/w], [五月/t, 耀眼/a, 
冬天 /t 2	  。/w], [冬天/t, 的/ude1
未来 /t 2	 , 即便/c, 未来/t, 谁/ry, 
往后 /t 2	  [她/rr, 往后/t, 退开/v, 
凌晨 /t 2	 i, 在/p, 凌晨/t, 两/m, 点
早晨 /t 2	 的/ude1, 早晨/t, ，/w], 
先前 /t 2	 v, 比/p, 先前/t, 镇定/a, 
上星期 /t 2	 , 她/rr, 上星期/t, 应该/v, 
头天 /t 2	 的/ude1, 头天/t, 夜里/t, 
秋天 /t 2	 的/ude1, 秋天/t, 结婚/vi,
清早 /t 2	 , 希望/v, 清早/t, 起来/vf,
当夜 /t 2	 , 案发/v, 当夜/t, 中西/nrj
当天 /t 2	 野/nrjb, 当天/t, 开车/vi,
将来 /t 2	  ，/w], [将来/t, 想要/v, 
平时 /t 2	  那/rzv, 平时/t, 水嫩/nz,
来时 /t 2	 , 出/vf, 来时/t, 和/cc, 
现 /t 1	 f, 惊/v, 现/tg, 尸体/n,
星期三 /t 1	 v, “/w, 星期三/t, 舞女/n, 
正午 /t 1	 , 指向/v, 正午/t, 时分/n, 
天启 /t 1	  那/rzv, 天启/t, 三原/ns,
瞬时 /t 1	 , 光线/n, 瞬时/t, 流过/v, 
上午 /t 1	 ……/w], [上午/t, 六/m, 点
一早 /t 1	  ，/w], [一早/t, 醒来/vi,
下星期 /t 1	  ，/w], [下星期/t, 你/rr, 
每周三 /t 1	 , 女孩/n, 每周三/t, 的/ude1
一瞬 /t 1	 [短短的/z, 一瞬/t, ，/w], 
而今 /t 1	  ，/w], [而今/t, 天天/d, 
婚前 /t 1	 v, 从/p, 婚前/t, 起/vf, 
课后 /t 1	 q, 节/q, 课后/t, 的/ude1
秋日 /t 1	  [直到/v, 秋日/t, 结束/v, 
中旬 /t 1	  年近/nr, 中旬/t, ，/w], 
前不久 /t 1	 , [“/w, 前不久/t, 我/rr, 
从前 /t 1	 , 有人/r, 从前/t, 方向/n, 
当晚 /t 1	  [案发/v, 当晚/t, ，/w], 
十二月 /t 1	 , 已是/d, 十二月/t, 初/f, ，
月初 /t 1	 [上个月/t, 月初/t, 时/qt, 
大前天 /t 1	  。/w], [大前天/t, 夜里/t, 
三月 /t 1	 [”/w], [三月/t, 里/f, 的
腊月 /t 1	 , 时值/v, 腊月/t, 的/ude1
