现在 /t 77	 器械体操/l, 现在/t, 派/v, 上
当时 /t 35	  [不过/c, 当时/t, 并/cc, 
刚才 /t 32	 , 想起/v, 刚才/t, 的/ude1
晚上 /t 23	 , 那天/r, 晚上/t, 是/vshi
今天 /t 21	 , [”/w, 今天/t, 是/vshi
最近 /t 17	  [看来/v, 最近/t, 你/rr, 
下午 /t 17	 是/vshi, 下午/t, 6/m, 点
明天 /t 15	  。/w], [明天/t, 晚上/t, 
清 /t 15	 得/ude3, 清/tg, 二/m, 
昨天 /t 11	  ，/w], [昨天/t, 我/rr, 
年前 /t 9	 , [几/d, 年前/t, 曾练/nr,
生前 /t 7	 那女孩/nz, 生前/t, 的/ude1
早上 /t 7	  [明天/t, 早上/t, 还有/v, 
后来 /t 7	 , [“/w, 后来/t, 这个/rz,
平时 /t 7	  。/w], [平时/t, 出入/v, 
朝 /t 7	  [他/rr, 朝/tg, 房间/n,
半夜 /t 6	 a, 到/v, 半夜/t, 1/m, 点
今晚 /t 5	 , [“/w, 今晚/t, 他/rr, 
深夜 /t 5	  ，/w], [深夜/t, 两/m, 点
每天 /t 5	  ，/w], [每天/t, 5000/m
夜 /t 5	  [只有/c, 夜/tg, 明灯/n,
晚 /t 4	  发生/v, 当晚/t, 森崎敏/nr
去年 /t 4	 务所/nis, 去年/t, 倒闭/v, 
当晚 /t 4	 , 发生/v, 当晚/t, 森崎敏/nr
目前 /t 3	 c, 从/p, 目前/t, 的/ude1
以往 /t 3	 , [凭/p, 以往/t, 的/ude1
上午 /t 2	 是/vshi, 上午/t, 11/m, 
事前 /t 2	 , 出/vf, 事前/t, 一/m, 天
夜里 /t 2	 , 半/mq, 夜里/t, ，/w], 
午夜 /t 2	 [刚过/nr, 午夜/t, 他/rr, 
下次 /t 2	 , [“/w, 下次/t, 想/v, 看
每月 /t 2	  ，/w], [每月/t, 至/p, 少
每周 /t 2	  ，/w], [每周/t, 都去/nr,
未来 /t 2	 , 他/rr, 未来/t, 的/ude1
周三 /t 2	 是/vshi, 周三/t, 。/w], 
周二 /t 2	  这/rzv, 周二/t, 晚上/t, 
昨晚 /t 2	  。/w], [昨晚/t, 进入/v, 
周六 /t 2	 是/vshi, 周六/t, 。/w], 
上次 /t 2	 d, 离/v, 上次/t, 见面/vi,
将来 /t 2	  了/ule, 将来/t, 和/cc, 
当初 /t 2	  [我/rr, 当初/t, 怎么/ryv
来时 /t 2	  [和/cc, 来时/t, 一样/uyy
每年 /t 1	  ，/w], [每年/t, 都/d, 要
楚 /t 1	 g, 二/m, 楚/tg, 了/ule
先前 /t 1	 e, 比/p, 先前/t, 更大/d, 
此后 /t 1	 , 想法/n, 此后/t, 一直/d, 
前夜 /t 1	 , 圣诞/t, 前夜/t, ，/w], 
傍晚 /t 1	 , 今天/t, 傍晚/t, 走/v, 的
早间 /t 1	  ，/w], [早间/t, 新闻/n, 
转眼间 /t 1	  。/w], [转眼间/t, ，/w], 
清晨 /t 1	  。/w], [清晨/t, 的/ude1
圣诞 /t 1	 过/uguo, 圣诞/t, 前夜/t, 
当天 /t 1	 , 她/rr, 当天/t, 下午/t, 
从前 /t 1	 , 你/rr, 从前/t, 偷情/vi,
白天 /t 1	  了/ule, 白天/t, 和/cc, 
午 /t 1	 /vshi, 下午/t, 6/m, 点
当前 /t 1	 w, 在/p, 当前/t, 经济/n, 
往常 /t 1	 c, 像/v, 往常/t, 一样/uyy
上周 /t 1	 是/vshi, 上周/t, 四/m, 吧
饭后 /t 1	  [吃完/v, 饭后/t, ，/w], 
春天 /t 1	  。/w], [春天/t, 的/ude1
如今 /t 1	 井/nrjb, 如今/t, 在/p, 千
