大阪 /ns 47	 , 是从/v, 大阪/nsf, 打来/v,
小田 /ns 15	 , 和/cc, 小田/ns, 。/w], 
东京 /ns 9	 , [从/p, 东京/nsf, 转/v, 
田村 /ns 8	 , 名叫/v, 田村/ns, 的/ude1
上站 /ns 4	 , 长凳/n, 上站/ns, 起/vf, 
银座 /ns 3	 有/vyou, 银座/ns, 有/vyou
不存在 /ns 3	 d, 就/d, 不存在/ns, 什么/ry,
琦玉县 /ns 3	 , [到/v, 琦玉县/ns, 去找/v, 
天桥 /ns 2	 , 人形/n, 天桥/ns, 都会/n, 
太黑 /ns 2	 , 不算/v, 太黑/ns, ，/w], 
上香 /ns 2	 m, 个/q, 上香/ns, 的/ude1
上完 /ns 2	 [淡淡地/z, 上完/ns, 香/a, 之
三原 /ns 2	 , 天启/t, 三原/ns, 本/rz, 
法国 /ns 2	 , 这种/r, 法国/nsf, 香水/n,
上都 /ns 2	 n, 版/n, 上都/ns, 以/p, 这
和歌山 /ns 2	 d, 在/p, 和歌山/ns, 那边/rzs
钟楼 /ns 1	 , 中的/v, 钟楼/ns, 颇/d, 有
东京都 /ns 1	  ，/w], [东京都/nsf, 的/ude
搞了 /ns 1	 n, 还/d, 搞了/ns, 这种/r, 
欧洲 /ns 1	 f, 到/v, 欧洲/ns, 新婚旅行/n
日本 /ns 1	 , 可谓/v, 日本/ns, 国内/s, 
冈村 /ns 1	 s, 、/w, 冈村/ns, ，/w], 
中一路 /ns 1	 , 黑夜/n, 中一路/ns, 飞驰/vi,
北海道 /ns 1	 s, 到/v, 北海道/nsf, 去/vf,
二七 /ns 1	 i, 高/a, 二七/ns, 班/n, 的
从家 /ns 1	 t, 在/p, 从家/ns, 到/v, 这
那达 /ns 1	 , [“/w, 那达/ns, 也/d, 当
长安 /ns 1	 n, 科/n, 长安/ns, 部/q, 孝
夏天 /ns 1	  。/w], [夏天/ns, 时/qt, 
中野 /ns 1	  。/w], [中野/ns, 、/w, 冈
白跑 /ns 1	 , 只是/d, 白跑/ns, 了/ule,
大阪府 /ns 1	 是/vshi, 大阪府/ns, 警/ng, 
美国 /ns 1	 , 和/cc, 美国/nsf, 电影海报/
望都 /ns 1	 q, 希/b, 望都/ns, 没有/v, 
孔里 /ns 1	  换气/vi, 孔里/ns, 。/w], 
三明 /ns 1	 , 一块/s, 三明/ns, 治/v, ，
和安 /ns 1	  [他/rr, 和安/ns, 部/q, 之
等上 /ns 1	 v, 再/d, 等上/ns, 三/m, 个
