日本 /ns 62	 是/vshi, 日本/ns, 作家/nnt
东京 /ns 24	 i, 在/p, 东京/nsf, AB/nx
大阪 /ns 17	  了/ule, 大阪/nsf, ，/w],
香港 /ns 16	  [——/w, 香港/ns, 路人甲/nz
台湾 /ns 16	  ，/w], [台湾/ns, 林白/nr,
轻井泽 /ns 11	 , [在/p, 轻井泽/ns, 的/ude1
塔上 /ns 8	 b, 从/p, 塔上/ns, 消失/vi,
黄门 /ns 6	 , 水户/n, 黄门/ns, ，/w], 
雅吉 /ns 5	 , 主人/n, 雅吉/ns, 因/p, 癌
美惠 /ns 5	 , 友/ng, 美惠/ns, ，/w], 
前门 /ns 3	 的/ude1, 前门/ns, 被/pbei
田庄 /ns 3	  岛/n], [田庄/ns, 司/ng, 
温泉乡 /ns 3	 , 氤氲/n, 温泉乡/ns, 杀人/vi,
宅内 /ns 3	  于邸/nr, 宅内/ns, 的/ude1
新干 /ns 2	 f, 越/d, 新干/ns], [线/n,
阿尔卑斯 /ns 2	  日本/ns, 阿尔卑斯/ns, 纵/ng, 
不存在 /ns 2	 , 应该/v, 不存在/ns, 、/w, 二
新平 /ns 2	 代/nrjb, 新平/ns, ——/w, 
西村 /ns 2	 t, 如/v, 西村/ns, 京/b, 太
王子 /ns 2	 m, 位/q, 王子/ns, 般的/u, 
之门 /ns 2	  杀人/vi, 之门/ns, 》/w, ，
大阪府 /ns 2	 n, 、/w, 大阪府/ns, 立/v, 阪
加贺 /ns 2	 , 中的/v, 加贺/ns, 恭一郎/nr
海南 /ns 2	 [大陆/ns, 海南/ns, //w, 台
都灵 /ns 2	 , 梦回/v, 都灵/ns, 》/w, （
日本海 /ns 2	 , 绕过/v, 日本海/ns, 等/uden
大陆 /ns 2	  ，/w], [大陆/ns, 海南/ns,
爱知 /ns 1	 , 就是/v, 爱知/ns, 县/n, 的
欧洲 /ns 1	 o, 如/v, 欧洲/ns, 贵族/n, 
金边 /ns 1	  灿灿/nz, 金边/nsf, 。/w],
连平 /ns 1	 , [就/d, 连平/ns, 常/d, 见
太高兴 /ns 1	 i, 不/d, 太高兴/ns, 的/ude1
之列 /ns 1	 t, ”/w, 之列/ns, 。/w], 
头村 /ns 1	  人/n], [头村/ns, 诅咒/v, 
深山中 /ns 1	 , 位于/v, 深山中/ns, 深入/ad,
大石 /ns 1	 , 心头/s, 大石/ns, 。/w], 
银座 /ns 1	 , 去/vf, 银座/ns, 的/ude1
新进 /ns 1	 的/ude1, 新进/ns, 推理/vn,
塔下 /ns 1	 , [在/p, 塔下/ns, 面/nf, 
大理 /ns 1	 的/ude1, 大理/ns, 石/ng, 
亚洲 /ns 1	 , 成为/v, 亚洲/ns, 的/ude1
庙里 /ns 1	 沙丁鱼/nf, 庙里/ns, 已经/d, 
前黄 /ns 1	 , [早/a, 前黄/ns, 部/q, 家
所属地区 /ns 1	 , [”/w, 所属地区/ns, 的/ude1
北欧 /ns 1	 , 具有/v, 北欧/ns, 风味/n, 
加南 /ns 1	 n, 井/n, 加南/ns, 子/ng, 
山都 /ns 1	 y, 座/q, 山都/ns, 不算/v, 
美浓 /ns 1	 n, 《/w, 美浓/ns, 牛/n, 》
中都 /ns 1	 , 作品/n, 中都/ns, 能/v, 看
兵库 /ns 1	 的/ude1, 兵库/ns, ，/w], 
大阪市 /ns 1	 , 府/ng, 大阪市/nsf, 生野/nr
上曾 /ns 1	 , 报章/n, 上曾/ns, 出现/v, 
马来 /ns 1	 v, 《/w, 马来/ns, 铁道/n, 
美得 /ns 1	 i, 个/q, 美得/ns, 让/v, 丈
关东 /ns 1	 是/vshi, 关东/ns, 北部/f, 
埃及 /ns 1	 1, 《/w, 埃及/nsf, 十字架/n
茨城县 /ns 1	  日本/ns, 茨城县/ns, 水户市/nz
向海 /ns 1	 r, 望/v, 向海/ns, 下面/f, 
