日本 /ns 31	 是/vshi, 日本/ns, 作家/nnt
东京 /ns 19	 i, 在/p, 东京/nsf, AB/nx
香港 /ns 15	  [——/w, 香港/ns, 路人甲/nz
轻井泽 /ns 12	 , [在/p, 轻井泽/ns, 的/ude1
大阪 /ns 11	  了/ule, 大阪/nsf, ，/w],
塔上 /ns 8	 b, 从/p, 塔上/ns, 消失/vi,
美惠 /ns 5	 , 友/ng, 美惠/ns, ，/w], 
雅吉 /ns 5	 , 主人/n, 雅吉/ns, 因/p, 癌
田庄 /ns 3	 1, 岛/n, 田庄/ns, 司/ng, 
宅内 /ns 3	  于邸/nr, 宅内/ns, 的/ude1
前门 /ns 3	 的/ude1, 前门/ns, 被/pbei
阿尔卑斯 /ns 2	  日本/ns, 阿尔卑斯/ns, 纵/ng, 
不存在 /ns 2	 , 应该/v, 不存在/ns, 、/w, 二
日本海 /ns 2	 , 绕过/v, 日本海/ns, 等/uden
大石 /ns 2	 , 心头/s, 大石/ns, 。/w], 
王子 /ns 2	 m, 位/q, 王子/ns, 般的/u, 
新平 /ns 2	 代/nrjb, 新平/ns, ，/w], 
欧洲 /ns 1	 o, 如/v, 欧洲/ns, 贵族/n, 
美浓 /ns 1	 n, 《/w, 美浓/ns, 牛/n, 》
山都 /ns 1	 y, 座/q, 山都/ns, 不算/v, 
连平 /ns 1	 , [就/d, 连平/ns, 常/d, 见
太高兴 /ns 1	 i, 不/d, 太高兴/ns, 的/ude1
庙里 /ns 1	 沙丁鱼/nf, 庙里/ns, 已经/d, 
黄门 /ns 1	 , 水户/n, 黄门/ns, 印盒/n, 
关东 /ns 1	 是/vshi, 关东/ns, 北部/f, 
前黄 /ns 1	 , [早/a, 前黄/ns, 部/q, 家
马来 /ns 1	 v, 《/w, 马来/ns, 铁道/n, 
上曾 /ns 1	 , 报章/n, 上曾/ns, 出现/v, 
深山中 /ns 1	 , 位于/v, 深山中/ns, 深入/ad,
埃及 /ns 1	 1, 《/w, 埃及/nsf, 十字架/n
爱知 /ns 1	 , 就是/v, 爱知/ns, 县/n, 的
西村 /ns 1	 t, 如/v, 西村/ns, 京/b, 太
塔下 /ns 1	 v, 在/p, 塔下/ns, 面/nf, 
新进 /ns 1	 的/ude1, 新进/ns, 推理/vn,
美得 /ns 1	 i, 个/q, 美得/ns, 让/v, 丈
向海 /ns 1	 r, 望/v, 向海/ns, 下面/f, 
江户 /ns 1	 , 证实/v, 江户/ns, 川/b, 乱
所属地区 /ns 1	 , [”/w, 所属地区/ns, 的/ude1
北欧 /ns 1	 , 具有/v, 北欧/ns, 风味/n, 
大理 /ns 1	 的/ude1, 大理/ns, 石/ng, 
